"series_type","series_id","label","quarter_in","quarter_out","entry_date","exit_date","n_stocks","window_return","cum_return","excess_return","turnover"
"benchmark","SPY","S&P 500","2025Q1","2025Q2","2025-05-15","2025-08-14","","0.095148","0.095148","",""
"strategy","avg_portfolio","Avg Portfolio","2025Q1","2025Q2","2025-05-15","2025-08-14","46","0.17982","0.17982","0.084672","0.0"
"strategy","consensus","Consensus Buys","2025Q1","2025Q2","2025-05-15","2025-08-14","29","0.433642","0.433642","0.338494","0.0"
"strategy","new_consensus","New Consensus","2025Q1","2025Q2","2025-05-15","2025-08-14","30","0.344446","0.344446","0.249298","0.0"
"strategy","big_bets","Big Bets","2025Q1","2025Q2","2025-05-15","2025-08-14","28","0.232503","0.232503","0.137355","0.0"
"strategy","increasing","Increasing","2025Q1","2025Q2","2025-05-15","2025-08-14","25","0.220471","0.220471","0.125323","0.0"
"strategy","decreasing","Decreasing","2025Q1","2025Q2","2025-05-15","2025-08-14","30","0.185657","0.185657","0.090509","0.0"
"benchmark","SPY","S&P 500","2025Q2","2025Q3","2025-08-14","2025-11-14","","0.039566","0.138479","",""
"strategy","avg_portfolio","Avg Portfolio","2025Q2","2025Q3","2025-08-14","2025-11-14","51","0.117235","0.318137","0.077669","0.235294"
"strategy","consensus","Consensus Buys","2025Q2","2025Q3","2025-08-14","2025-11-14","30","0.208712","0.73286","0.169145","0.9"
"strategy","new_consensus","New Consensus","2025Q2","2025Q3","2025-08-14","2025-11-14","30","0.165592","0.567076","0.126026","0.7"
"strategy","big_bets","Big Bets","2025Q2","2025Q3","2025-08-14","2025-11-14","29","0.269263","0.564371","0.229696","0.310345"
"strategy","increasing","Increasing","2025Q2","2025Q3","2025-08-14","2025-11-14","30","0.179121","0.439083","0.139554","0.533333"
"strategy","decreasing","Decreasing","2025Q2","2025Q3","2025-08-14","2025-11-14","29","0.151924","0.365787","0.112358","0.862069"
"benchmark","SPY","S&P 500","2025Q3","2025Q4","2025-11-14","2026-02-14","","0.018582","0.159635","",""
"strategy","avg_portfolio","Avg Portfolio","2025Q3","2025Q4","2025-11-14","2026-02-14","65","0.081775","0.425927","0.063193","0.261538"
"strategy","consensus","Consensus Buys","2025Q3","2025Q4","2025-11-14","2026-02-14","30","0.144847","0.98386","0.126265","1.0"
"strategy","new_consensus","New Consensus","2025Q3","2025Q4","2025-11-14","2026-02-14","30","0.083371","0.697725","0.064789","0.8"
"strategy","big_bets","Big Bets","2025Q3","2025Q4","2025-11-14","2026-02-14","30","0.068398","0.671371","0.049816","0.266667"
"strategy","increasing","Increasing","2025Q3","2025Q4","2025-11-14","2026-02-14","27","0.143603","0.64574","0.125021","0.62963"
"strategy","decreasing","Decreasing","2025Q3","2025Q4","2025-11-14","2026-02-14","28","0.01961","0.392571","0.001028","0.821429"
"benchmark","SPY","S&P 500","2025Q4","2026Q1","2026-02-14","2026-05-15","","0.086244","0.259647","",""
"strategy","avg_portfolio","Avg Portfolio","2025Q4","2026Q1","2026-02-14","2026-05-15","67","0.260326","0.797133","0.174082","0.164179"
"strategy","consensus","Consensus Buys","2025Q4","2026Q1","2026-02-14","2026-05-15","30","0.250496","1.480808","0.164251","0.933333"
"strategy","new_consensus","New Consensus","2025Q4","2026Q1","2026-02-14","2026-05-15","30","0.406494","1.387841","0.32025","0.7"
"strategy","big_bets","Big Bets","2025Q4","2026Q1","2026-02-14","2026-05-15","30","0.162559","0.943067","0.076314","0.266667"
"strategy","increasing","Increasing","2025Q4","2026Q1","2026-02-14","2026-05-15","30","0.29798","1.136138","0.211736","0.7"
"strategy","decreasing","Decreasing","2025Q4","2026Q1","2026-02-14","2026-05-15","29","0.275179","0.775777","0.188935","0.827586"
